UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT (1) ,INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.101_N.24_101/24/02_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/02,HULU SEMENYIH,SEKOLAH KEBANGSAAN ULU SEMENYIH,4,396,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,260,PPBM,AIMAN ZAINALI,MALE,33,120,PSM,NIK AZIZ,MALE,25,7,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,393,3,0
P.101_N.24_101/24/02_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/02,HULU SEMENYIH,SEKOLAH KEBANGSAAN ULU SEMENYIH,5,345,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,237,PPBM,AIMAN ZAINALI,MALE,33,91,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,8,339,6,0
P.101_N.24_101/24/02_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/02,HULU SEMENYIH,SEKOLAH KEBANGSAAN ULU SEMENYIH,6,307,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,215,PPBM,AIMAN ZAINALI,MALE,33,81,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,305,2,0
P.101_N.24_101/24/03_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/03,TARUN,PEJABAT JAWATANKUASA KEMAJUAN DAN KESELAMATAN KAMPUNG (JKKK) KAMPUNG BARU TARUN / BROGA,1,251,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,58,PPBM,AIMAN ZAINALI,MALE,33,172,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,243,8,0
P.101_N.24_101/24/03_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/03,TARUN,PEJABAT JAWATANKUASA KEMAJUAN DAN KESELAMATAN KAMPUNG (JKKK) KAMPUNG BARU TARUN / BROGA,2,336,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,70,PPBM,AIMAN ZAINALI,MALE,33,229,PSM,NIK AZIZ,MALE,25,21,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,327,9,0
P.101_N.24_101/24/04_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,1,229,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,104,PPBM,AIMAN ZAINALI,MALE,33,100,PSM,NIK AZIZ,MALE,25,13,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,5,222,7,0
P.101_N.24_101/24/04_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,2,281,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,152,PPBM,AIMAN ZAINALI,MALE,33,119,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,278,3,0
P.101_N.24_101/24/04_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,3,477,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,248,PPBM,AIMAN ZAINALI,MALE,33,202,PSM,NIK AZIZ,MALE,25,13,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,470,7,0
P.101_N.24_101/24/04_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,4,445,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,255,PPBM,AIMAN ZAINALI,MALE,33,162,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,7,435,10,0
P.101_N.24_101/24/04_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,5,397,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,246,PPBM,AIMAN ZAINALI,MALE,33,135,PSM,NIK AZIZ,MALE,25,6,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,390,7,0
P.101_N.24_101/24/04_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,6,372,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,234,PPBM,AIMAN ZAINALI,MALE,33,114,PSM,NIK AZIZ,MALE,25,10,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,9,367,5,0
P.101_N.24_101/24/04_7,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/04,KAMPUNG TANJONG,DEWAN ORANG RAMAI SEMENYIH,7,375,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,221,PPBM,AIMAN ZAINALI,MALE,33,126,PSM,NIK AZIZ,MALE,25,13,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,13,373,2,0
P.101_N.24_101/24/05_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,1,195,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,23,PPBM,AIMAN ZAINALI,MALE,33,143,PSM,NIK AZIZ,MALE,25,20,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,9,195,0,0
P.101_N.24_101/24/05_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,2,269,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,37,PPBM,AIMAN ZAINALI,MALE,33,212,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,266,3,0
P.101_N.24_101/24/05_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,3,266,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,39,PPBM,AIMAN ZAINALI,MALE,33,214,PSM,NIK AZIZ,MALE,25,3,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,4,260,6,0
P.101_N.24_101/24/05_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,4,428,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,51,PPBM,AIMAN ZAINALI,MALE,33,348,PSM,NIK AZIZ,MALE,25,8,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,417,11,0
P.101_N.24_101/24/05_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,5,406,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,49,PPBM,AIMAN ZAINALI,MALE,33,323,PSM,NIK AZIZ,MALE,25,18,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,400,6,0
P.101_N.24_101/24/05_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,6,377,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,41,PPBM,AIMAN ZAINALI,MALE,33,299,PSM,NIK AZIZ,MALE,25,15,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,365,12,0
P.101_N.24_101/24/05_7,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/05,KAMPUNG BAHARU SEMENYIH,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG BARU SEMENYIH,7,373,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,61,PPBM,AIMAN ZAINALI,MALE,33,286,PSM,NIK AZIZ,MALE,25,10,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,9,366,7,0
P.101_N.24_101/24/06_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/06,PEKAN SEMENYIH,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SIN MING SEMENYIH,1,232,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,62,PPBM,AIMAN ZAINALI,MALE,33,145,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,228,4,0
P.101_N.24_101/24/06_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/06,PEKAN SEMENYIH,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SIN MING SEMENYIH,2,257,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,75,PPBM,AIMAN ZAINALI,MALE,33,165,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,253,4,0
P.101_N.24_101/24/06_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/06,PEKAN SEMENYIH,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SIN MING SEMENYIH,3,435,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,167,PPBM,AIMAN ZAINALI,MALE,33,236,PSM,NIK AZIZ,MALE,25,17,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,10,430,5,0
P.101_N.24_101/24/06_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/06,PEKAN SEMENYIH,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SIN MING SEMENYIH,4,428,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,134,PPBM,AIMAN ZAINALI,MALE,33,266,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,11,422,6,0
P.101_N.24_101/24/06_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/06,PEKAN SEMENYIH,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SIN MING SEMENYIH,5,400,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,141,PPBM,AIMAN ZAINALI,MALE,33,223,PSM,NIK AZIZ,MALE,25,12,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,18,394,6,0
P.101_N.24_101/24/06_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/06,PEKAN SEMENYIH,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SIN MING SEMENYIH,6,400,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,185,PPBM,AIMAN ZAINALI,MALE,33,200,PSM,NIK AZIZ,MALE,25,7,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,398,2,0
P.101_N.24_101/24/07_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/07,SEMENYIH SELATAN,SEKOLAH RENDAH AGAMA BATU TIGA JALAN BANGI,1,251,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,132,PPBM,AIMAN ZAINALI,MALE,33,93,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,239,12,0
P.101_N.24_101/24/07_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/07,SEMENYIH SELATAN,SEKOLAH RENDAH AGAMA BATU TIGA JALAN BANGI,2,280,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,165,PPBM,AIMAN ZAINALI,MALE,33,99,PSM,NIK AZIZ,MALE,25,8,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,3,275,5,0
P.101_N.24_101/24/07_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/07,SEMENYIH SELATAN,SEKOLAH RENDAH AGAMA BATU TIGA JALAN BANGI,3,391,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,222,PPBM,AIMAN ZAINALI,MALE,33,153,PSM,NIK AZIZ,MALE,25,5,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,1,381,10,0
P.101_N.24_101/24/07_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/07,SEMENYIH SELATAN,SEKOLAH RENDAH AGAMA BATU TIGA JALAN BANGI,4,367,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,213,PPBM,AIMAN ZAINALI,MALE,33,142,PSM,NIK AZIZ,MALE,25,8,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,365,2,0
P.101_N.24_101/24/07_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/07,SEMENYIH SELATAN,SEKOLAH RENDAH AGAMA BATU TIGA JALAN BANGI,5,364,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,199,PPBM,AIMAN ZAINALI,MALE,33,146,PSM,NIK AZIZ,MALE,25,12,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,359,5,0
P.101_N.24_101/24/07_6,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/07,SEMENYIH SELATAN,SEKOLAH RENDAH AGAMA BATU TIGA JALAN BANGI,6,349,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,205,PPBM,AIMAN ZAINALI,MALE,33,130,PSM,NIK AZIZ,MALE,25,8,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,349,0,0
P.101_N.24_101/24/08_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/08,KAMPUNG RINCHING,SEKOLAH KEBANGSAAN KAMPUNG RINCHING,1,292,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,203,PPBM,AIMAN ZAINALI,MALE,33,86,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,0,289,3,0
P.101_N.24_101/24/08_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/08,KAMPUNG RINCHING,SEKOLAH KEBANGSAAN KAMPUNG RINCHING,2,308,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,205,PPBM,AIMAN ZAINALI,MALE,33,92,PSM,NIK AZIZ,MALE,25,0,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,6,303,5,0
P.101_N.24_101/24/09_1,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,1,267,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,88,PPBM,AIMAN ZAINALI,MALE,33,159,PSM,NIK AZIZ,MALE,25,11,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,260,7,0
P.101_N.24_101/24/09_2,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,2,304,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,104,PPBM,AIMAN ZAINALI,MALE,33,181,PSM,NIK AZIZ,MALE,25,4,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,291,13,0
P.101_N.24_101/24/09_3,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,3,463,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,167,PPBM,AIMAN ZAINALI,MALE,33,264,PSM,NIK AZIZ,MALE,25,20,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,453,10,0
P.101_N.24_101/24/09_4,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,4,406,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,117,PPBM,AIMAN ZAINALI,MALE,33,263,PSM,NIK AZIZ,MALE,25,16,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,2,398,8,0
P.101_N.24_101/24/09_5,SELANGOR,ORDINARY VOTE,P.101,HULU LANGAT,N.24,SEMENYIH,101/24/09,BANDAR RINCHING SEKSYEN 1 - 4,SEKOLAH KEBANGSAAN BANDAR RINCHING,5,385,UMNO,ZAKARIA BIN HAJI HANAFI,MALE,58,121,PPBM,AIMAN ZAINALI,MALE,33,234,PSM,NIK AZIZ,MALE,25,12,INDEPENDENT - TELEPHONE,UNCLE KENTANG,MALE,56,11,378,7,0
